Star,Program_ID,Existing_Spitzer_data,Unpublished_Spitzer_Data_location,Date_spitzer_observation,reference_date__spitzer_observation,H2O_15.17_microns,H2O_15.17_uncertainty,reference_H2O_15.17,H2O_17.22_microns,H2O_17.22_uncertainty,reference_H2O_17.22,H2O_29.85_microns,H2O_29.85_uncertainty,reference_H2O_29.85,LH2O,LH2O_lessthan,OH_23.2_microns,OH_23.2_microns_uncertainty,reference_OH_23.2_microns,OH_27.6_microns,OH_27.6_microns_uncertainty,reference_OH_27.6_microns,HCN_flux,HCN_flux_uncertainty,reference_HCN_flux,C2H2_flux,C2H2_flux_uncertainty,reference_C2H2_flux,CO2_flux,CO2_flux_uncertainty,reference_CO2_flux,NeII_12.8_flux,NeII_12.8_flux_uncertainty,reference_NeII_12.8_flux,CO_P6,CO_P6_uncertainty,CO_P6_lessthan,reference_CO_P6,CO_P12,CO_P12_uncertainty,CO_P12_lessthan,reference_CO_P12
HT Lup,1584,Yes_published,,2004-08-30 18:07:59,https://irsa.ipac.caltech.edu/workspace/TMP_4Csn0r_9465/Gator/irsa/29712/tbview.html,1.75E-17,-99,pontoppidan_2010,1.72E-17,-99,pontoppidan_2010,1.17E-14,1.50E-18,pontoppidan_2010,1.1,1,3.29E-17,-99,salyk_2011,3.11E-17,-99,salyk_2011,9.25E-17,-99,salyk_2011,5.60E-17,-99,salyk_2011,5.58E-17,1.08E-17,salyk_2011,9.60E-17,-99,lahuis_2007,-99,-99,-99,-99,-99,-99,-99,-99
GW Lup,1282,Yes_published,,2004-08-30 22:10:48,https://irsa.ipac.caltech.edu/workspace/TMP_4Csn0r_9465/Gator/irsa/4301/tbview.html,1.70E-18,-99,pontoppidan_2010,1.80E-18,-99,pontoppidan_2010,3.40E-18,-99,pontoppidan_2010,0.34,1,9.40E-18,-99,salyk_2011,9.60E-18,-99,salyk_2011,1.20E-17,-99,salyk_2011,7.40E-18,-99,salyk_2011,2.08E-17,1.30E-18,salyk_2011,7.00E-18,-99,lahuis_2007,1.57,-99,1,salyk_2011,0.28,-99,1,salyk_2011
IM Lup,1282,Yes_published,,2004-08-30 23:04:21,https://irsa.ipac.caltech.edu/workspace/TMP_4Csn0r_9465/Gator/irsa/14997/tbview.html,2.40E-18,-99,pontoppidan_2010,2.40E-18,-99,pontoppidan_2010,3.00E-18,-99,pontoppidan_2010,0.30,1,8.70E-18,-99,salyk_2011,8.90E-18,-99,salyk_2011,1.22E-17,-99,salyk_2011,8.10E-18,-99,salyk_2011,8.60E-18,1.50E-18,salyk_2011,6.10E-17,1.60E-17,lahuis_2007,-99,-99,-99,-99,-99,-99,-99,-99
RU Lup,1584,Yes_published,,2004-08-30 23:07:03,https://irsa.ipac.caltech.edu/workspace/TMP_4Csn0r_9465/Gator/irsa/21618/tbview.html,2.50E-17,1.30E-18,pontoppidan_2010,3.49E-17,1.40E-18,pontoppidan_2010,2.41E-17,8.00E-19,pontoppidan_2010,2.8,0,1.89E-17,-99,salyk_2011,1.76E-17,-99,salyk_2011,3.69E-17,3.90E-18,salyk_2011,1.81E-17,-99,salyk_2011,1.41E-17,3.10E-18,salyk_2011,9.20E-17,-99,lahuis_2007,-99,-99,-99,-99,-99,-99,-99,-99
Sz 114,1584,No,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,-99,-99,-99,-99,-99,-99,-99,-99
Sz 129,1584,No,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,-99,-99,-99,-99,-99,-99,-99,-99
MY Lup,1584,Yes_unpublished,"Catalog: ""MY Lup""",2005-08-08 0:17:29,https://irsa.ipac.caltech.edu/workspace/TMP_4Csn0r_9465/Gator/irsa/7315/tbview.html,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,-99,-99,-99,-99,-99,-99,-99,-99
HD 142666,1584,No,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,-99,-99,-99,-99,-99,-99,-99,-99
HD 143006,1584,No,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,-99,-99,-99,-99,-99,-99,-99,-99
AS 205,1584,Yes_published,,2004-08-28 20:15:29,https://irsa.ipac.caltech.edu/workspace/TMP_4Csn0r_9465/Gator/irsa/22968/tbview.html,1.16E-16,6.50E-18,pontoppidan_2010,1.82E-16,7.40E-18,pontoppidan_2010,9.35E-17,4.80E-18,pontoppidan_2010,8.9,0,1.63E-16,5.80E-18,salyk_2011,4.77E-16,6.80E-18,salyk_2011,2.20E-16,1.95E-17,salyk_2011,2.11E-16,1.50E-17,salyk_2011,2.33E-16,1.60E-17,salyk_2011,2.70E-16,-99,lahuis_2007,24.18,0.6,0,salyk_2011,24.03,1.6,0,salyk_2011
